[22:13:56] [ServerMain/INFO]: Building unoptimized datafixer
[22:13:59] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:14:03] [ServerMain/INFO]: Loaded 7 recipes
[22:14:08] [Server thread/INFO]: Starting minecraft server version 1.19.2
[22:14:08] [Server thread/INFO]: Loading properties
[22:14:08] [Server thread/INFO]: This server is running CraftBukkit version 3610-Spigot-6198b5a-19df23a (MC: 1.19.2) (Implementing API version 1.19.2-R0.1-SNAPSHOT)
[22:14:09] [Server thread/INFO]: Debug logging is disabled
[22:14:09] [Server thread/INFO]: Server Ping Player Sample Count: 12
[22:14:09] [Server thread/INFO]: Using 4 threads for Netty based IO
[22:14:09] [Server thread/INFO]: Default game type: SURVIVAL
[22:14:09] [Server thread/INFO]: Generating keypair
[22:14:09] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:14:10] [Server thread/INFO]: Using epoll channel type
[22:14:12] [Server thread/WARN]: Initializing Legacy Material Support. Unless you have legacy plugins and/or data this is a bug!
[22:14:28] [Server thread/WARN]: Legacy plugin EasyWhitelist v1.0.2 does not specify an api-version.
[22:14:29] [Server thread/WARN]: Legacy plugin LoginSecurity v3.0.2 does not specify an api-version.
[22:14:29] [Server thread/INFO]: [CoreProtect] Loading CoreProtect v21.3
[22:14:29] [Server thread/INFO]: [EasyWhitelist] Loading EasyWhitelist v1.0.2
[22:14:29] [Server thread/INFO]: [SkinsRestorer] Loading SkinsRestorer v14.2.5
[22:14:29] [Server thread/INFO]: [InventoryRollbackPlus] Loading InventoryRollbackPlus v1.6.8
[22:14:29] [Server thread/INFO]: [AntiXRay] Loading AntiXRay v1.9.0
[22:14:29] [Server thread/INFO]: [Vault] Loading Vault v1.7.3-b131
[22:14:29] [Server thread/INFO]: [LoginSecurity] Loading LoginSecurity v3.0.2
[22:14:29] [Server thread/INFO]: [LockettePro] Loading LockettePro v2.10.10
[22:14:29] [Server thread/INFO]: [SuperVanish] Loading SuperVanish v6.2.12
[22:14:29] [Server thread/INFO]: [Admin-GUI] Loading Admin-GUI v1.7.0
[22:14:29] [Server thread/INFO]: [Vault] Enabling Vault v1.7.3-b131
[22:14:29] [Server thread/INFO]: [Vault] [Permission] SuperPermissions loaded as backup permission system.
[22:14:29] [Server thread/INFO]: [Vault] Enabled Version 1.7.3-b131
[22:14:29] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[22:14:29] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[22:14:29] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[22:14:29] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[22:14:29] [Server thread/INFO]: Preparing level "world"
[22:14:53] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:16:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
